Ano Censo;Número de Matrículas;Nome Região;Sigla UF;Sigla Região
2016;221212;CENTRO-OESTE;DF;CO
2016;243744;CENTRO-OESTE;GO;CO
2016;119877;CENTRO-OESTE;MS;CO
2016;166768;CENTRO-OESTE;MT;CO
2016;96637;NORDESTE;AL;NE
2016;422320;NORDESTE;BA;NE
2016;289276;NORDESTE;CE;NE
2016;153570;NORDESTE;MA;NE
2016;153492;NORDESTE;PB;NE
2016;264906;NORDESTE;PE;NE
2016;119274;NORDESTE;PI;NE
2016;118673;NORDESTE;RN;NE
2016;85530;NORDESTE;SE;NE
2016;37161;NORTE;AC;NO
2016;160584;NORTE;AM;NO
2016;46260;NORTE;AP;NO
2016;233577;NORTE;PA;NO
2016;75688;NORTE;RO;NO
2016;27594;NORTE;RR;NO
2016;74080;NORTE;TO;NO
2016;154393;SUDESTE;ES;SE
2016;817164;SUDESTE;MG;SE
2016;686241;SUDESTE;RJ;SE
2016;1954141;SUDESTE;SP;SE
2016;498354;SUL;PR;SU
2016;494154;SUL;RS;SU
2016;334031;SUL;SC;SU